run,epoch,time,accuracy
LibShuffle (full),1,65,0.6509221792221069
LibShuffle (full),2,146,0.673087477684021
LibShuffle (full),3,237,0.7021823525428772
LibShuffle (full),4,333,0.7156372666358948
LibShuffle (full),5,425,0.7234309315681458
LibShuffle (full),6,520,0.6944295763969421
LibShuffle (full),7,613,0.7327018976211548
LibShuffle (full),8,710,0.6803741455078125
LibShuffle (full),9,806,0.7341392040252686
LibShuffle (full),10,899,0.7428968548774719
LibShuffle (full),11,1001,0.7419883012771606
LibShuffle (full),12,1094,0.7467337250709534
LibShuffle (full),13,1192,0.7500008940696716
LibShuffle (full),14,1292,0.7502771019935608
LibShuffle (full),15,1389,0.751644492149353
LibShuffle (full),16,1487,0.75274658203125
LibShuffle (full),17,1584,0.7543593049049377
LibShuffle (full),18,1683,0.7549371123313904
LibShuffle (full),19,1776,0.7552105784416199
LibShuffle (full),20,1874,0.7559610605239868
LibShuffle (partial),1,62,0.6573484539985657
LibShuffle (partial),2,138,0.6604965925216675
LibShuffle (partial),3,215,0.6606974005699158
LibShuffle (partial),4,290,0.6512529253959656
LibShuffle (partial),5,366,0.6386956572532654
LibShuffle (partial),6,444,0.6490378379821777
LibShuffle (partial),7,521,0.6454426646232605
LibShuffle (partial),8,599,0.716224193572998
LibShuffle (partial),9,679,0.7249200344085693
LibShuffle (partial),10,763,0.7385830283164978
LibShuffle (partial),11,850,0.745926022529602
LibShuffle (partial),12,933,0.7495338916778564
LibShuffle (partial),13,1017,0.7450892329216003
LibShuffle (partial),14,1106,0.6601177453994751
LibShuffle (partial),15,1194,0.7441370487213135
LibShuffle (partial),16,1286,0.749254047870636
LibShuffle (partial),17,1376,0.7017871141433716
LibShuffle (partial),18,1469,0.7180513143539429
LibShuffle (partial),19,1562,0.741736650466919
LibShuffle (partial),20,1656,0.7474868893623352
